GSRT,TCRR,TSR,TUE,ablation,benchmark,benchmark_adapter_mode,contaminated_artifact_count,contract_violation_rate,cost_per_successful_task,dead_letter_rate,domain,extra_llm_calls,extra_tool_calls,fault_class_counts,fault_propagation_depth,fault_rate,max_concurrency,mean_time_to_detect_ms,mean_time_to_recover_ms,method,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_compliance,recovery_action_counts,recovery_success_rate,retry_amplification_factor,silent_failure_rate,source,stress,suite_run,task_success,task_success_rate,throughput_tasks_per_min,total_tasks,trace_event_count
1.8333333333333333,1.0,0.08333333333333333,0.0,without_event_trace,tau3,external,0,1.0,48.0,0.9166666666666666,airline,24,0,{},0,0.2,1,0,0,adagentflow_rt,19839,19862,19880,0.8333333333333334,{},0.08333333333333333,1.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c1_f0p2_tool_timeout,parti__without_event_trace.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c1_f0p2_tool_timeout,parti__without_event_trace",0.08333333333333333,0.08333333333333333,3.213396292097723,12,0
2.0,1.0,0.0,0.0,without_fault_localizer,tau3,external,0,1.0,0.0,1.0,airline,24,0,{},0,0.2,1,0,0,adagentflow_rt,18065,20005,20050,0.8333333333333334,"{'quick_repair': 12, 'retry_same_agent': 12}",0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c1_f0p2_tool_timeout,parti__without_fault_localizer.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c1_f0p2_tool_timeout,parti__without_fault_localizer",0.0,0.0,3.2453483340545217,12,60
3.6666666666666665,1.0,0.0,0.34725,,tau3,external,0,0.0,0.0,1.0,airline,24,8,{},0,0.0,5,0,0,retry_only,21117,21467,21498,0.8333333333333334,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c5_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c5_f0p0_tool_timeout,parti",0.0,0.0,2.833351697649892,12,0
3.8333333333333335,1.0,0.0,0.3945,,tau3,external,0,0.0,0.0,1.0,airline,24,10,{},0,0.1,5,0,0,retry_only,21186,21504,21656,0.8333333333333334,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c5_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c5_f0p1_tool_timeout,parti",0.0,0.0,2.8450851154630374,12,0
3.5,1.0,0.0,0.4515,,tau3,external,0,0.0,0.0,1.0,airline,24,6,{},0,0.2,5,0,0,retry_only,21122,21355,21510,0.8333333333333334,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c5_f0p2_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c5_f0p2_tool_timeout,parti",0.0,0.0,2.8307339070811595,12,0
5.0,1.0,0.0,0.46108333333333335,,tau3,external,0,0.0,0.0,1.0,retail,24,24,{},0,0.0,1,0,0,retry_only,20300,20706,20841,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p0_tool_timeout,parti",0.0,0.0,2.9920585778579354,12,0
4.916666666666667,1.0,0.08333333333333333,0.428,,tau3,external,0,0.0,89.0,0.9166666666666666,retail,24,29,{},0,0.1,1,0,0,retry_only,20240,21027,22135,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p1_tool_timeout,parti",0.08333333333333333,0.08333333333333333,3.0053721026334577,12,0
4.666666666666667,1.0,0.08333333333333333,0.4736666666666667,,tau3,external,0,0.0,85.0,0.9166666666666666,retail,24,25,{},0,0.2,1,0,0,retry_only,20377,20698,21269,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p2_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p2_tool_timeout,parti",0.08333333333333333,0.08333333333333333,2.9631702629402055,12,0
2.0,1.0,0.0,0.0,without_bounded_recovery,tau3,external,0,1.0,0.0,1.0,retail,12,0,{},0,0.2,1,0,0,adagentflow_rt,13292,13459,13479,1.0,{'quick_repair': 12},0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p2_tool_timeout,parti__without_bounded_recovery.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p2_tool_timeout,parti__without_bounded_recovery",0.0,0.0,4.885264143518204,12,36
4.666666666666667,1.0,0.0,0.44575000000000004,without_contract_monitor,tau3,external,0,0.0,0.0,1.0,retail,0,20,{},0,0.2,1,0,0,adagentflow_rt,7243,7577,7671,1.0,{},0.0,1.0,0.0,"experiments/results/main/real_full_v2/tau3_retail_c1_f0p2_tool_timeout,parti__without_contract_monitor.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_retail_c1_f0p2_tool_timeout,parti__without_contract_monitor",0.0,0.0,8.508023538865123,12,12
