GSRT,TCRR,TSR,TUE,ablation,benchmark,benchmark_adapter_mode,contaminated_artifact_count,contract_violation_rate,cost_per_successful_task,dead_letter_rate,domain,extra_llm_calls,extra_tool_calls,fault_class_counts,fault_propagation_depth,mean_time_to_detect_ms,mean_time_to_recover_ms,method,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_compliance,recovery_action_counts,recovery_success_rate,retry_amplification_factor,silent_failure_rate,task_success,task_success_rate,throughput_tasks_per_min,total_tasks,trace_event_count
,,,,,mock,mock,0,0.0,3.0,0.0,airline,0,0,{},0,0,0,adagentflow_rt,1200,1200,1200,1.0,{},0.0,1.0,0.0,1.0,1.0,50.0,3,21
,,,,,mock,mock,0,0.0,3.0,0.0,airline,0,0,{},0,0,0,retry_only,1000,1000,1000,1.0,{},0.0,1.0,0.0,1.0,1.0,60.0,3,0
,,,,,mock,mock,0,0.0,3.0,0.0,airline,0,0,{},0,0,0,schema_only,1000,1000,1000,1.0,{},0.0,1.0,0.0,1.0,1.0,60.0,3,0
,,,,,mock,mock,0,0.0,3.0,0.0,airline,0,0,{},0,0,0,vanilla,1000,1000,1000,1.0,{},0.0,1.0,0.0,1.0,1.0,60.0,3,0
