method,ablation,n_cells,total_tasks,fixture_success_rate,runtime_success_rate,over_rejection_rate,dead_letter_rate,recovery_success_rate,cost_per_successful_task_weighted,cost_per_successful_task_nonzero_mean
vanilla,,18,216,0.13425925925925927,0.0,0.13425925925925927,1.0,0.0,,
retry_only,,18,216,0.12037037037037036,0.12037037037037036,0.0,0.8796296296296297,0.0,37.19230769230769,48.14
schema_only,,18,216,0.1527777777777778,0.1527777777777778,0.0,0.8472222222222222,0.0,16.545454545454547,22.553571428571427
adagentflow_rt,,18,216,0.14814814814814814,0.14814814814814814,0.0,0.8518518518518519,0.0,16.5,27.314285714285713
adagentflow_rt,without_contract_monitor,3,36,0.08333333333333333,0.08333333333333333,0.0,0.9166666666666666,0.0,22.333333333333332,22.333333333333332
adagentflow_rt,without_fault_localizer,3,36,0.05555555555555555,0.05555555555555555,0.0,0.9444444444444444,0.0,24.0,24.0
adagentflow_rt,without_bounded_recovery,3,36,0.1111111111111111,0.1111111111111111,0.0,0.8888888888888888,0.0,9.0,9.0
adagentflow_rt,without_event_trace,3,36,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.0,16.0,28.8
